timestamp,noise_voltage,noise_freq_offset,noise_timing_offset,ber
2026-05-27 20:43:21.660,0.30000000000000004,0,1,0.00000000
2026-05-27 20:43:22.463,0.30000000000000004,0,1,0.00074850
2026-05-27 20:43:23.265,0.30000000000000004,0,1,0.00024534
2026-05-27 20:43:24.068,0.0,0,1,0.00024851
2026-05-27 20:43:24.868,0.0,0,1,0.00000000
2026-05-27 20:43:25.668,0.0,0,1,0.00000000
2026-05-27 20:43:26.476,0.0,0,1,0.00000000
2026-05-27 20:43:27.279,0.6000000000000001,0,1,0.02177104
2026-05-27 20:43:28.088,0.6000000000000001,0,1,0.01333333
2026-05-27 20:43:28.889,0.6000000000000001,0,1,0.02516619
2026-05-27 20:43:29.696,0.6000000000000001,0,1,0.02046568
2026-05-27 20:43:30.499,0.6000000000000001,0,1,0.01738492
2026-05-27 20:43:31.299,1.0,0,1,0.14942671
2026-05-27 20:43:32.100,1.0,0,1,0.25931907
2026-05-27 20:43:32.900,1.0,0,1,0.12811877
2026-05-27 20:43:33.700,1.0,0,1,0.12811877
2026-05-27 20:43:34.502,0.8,0,1,0.12811877
2026-05-27 20:43:35.306,0.8,0,1,0.12811877
2026-05-27 20:43:36.111,0.8,0,1,0.12811877
2026-05-27 20:43:36.912,0.8,0,1,0.12811877
2026-05-27 20:43:37.716,0.6000000000000001,0,1,0.02020958
2026-05-27 20:43:38.517,0.6000000000000001,0,1,0.01347305
2026-05-27 20:43:39.317,0.6000000000000001,0,1,0.02161100
2026-05-27 20:43:40.117,0.6000000000000001,0,1,0.01293532
2026-05-27 20:43:40.918,0.7000000000000001,0,1,0.04771835
2026-05-27 20:43:41.718,0.7000000000000001,0,1,0.03639083
2026-05-27 20:43:42.519,0.7000000000000001,0,1,0.03639083
2026-05-27 20:43:43.320,0.7000000000000001,0,1,0.03639083
2026-05-27 20:43:44.125,0.7000000000000001,0,1,0.03639083
2026-05-27 20:43:44.929,0.7000000000000001,0,1,0.03639083
2026-05-27 20:43:45.732,0.9,0,1,0.03639083
2026-05-27 20:43:46.533,0.9,0,1,0.03639083
2026-05-27 20:43:47.334,0.9,0,1,0.03639083
2026-05-27 20:43:48.135,0.9,0,1,0.03639083
2026-05-27 20:43:48.935,0.9,0,1,0.03639083
2026-05-27 20:43:49.738,0.6000000000000001,0,1,0.01715686
2026-05-27 20:43:50.538,0.6000000000000001,0,1,0.02783300
2026-05-27 20:43:51.338,0.6000000000000001,0,1,0.02320727
2026-05-27 20:43:52.142,0.5,0,1,0.42004955
2026-05-27 20:43:52.943,0.5,0,1,0.42061412
2026-05-27 20:43:53.745,0.5,0,1,0.00497018
2026-05-27 20:43:54.545,0.5,0,1,0.00883219
2026-05-27 20:43:55.347,0.5,0,1,0.00499002
2026-05-27 20:43:56.148,0.5,0,1,0.00907753
2026-05-27 20:43:56.948,0.5,0,1,0.00588235
2026-05-27 20:43:57.748,0.5,0,1,0.00652805
2026-05-27 20:43:58.549,0.5,0,1,0.00667302
2026-05-27 20:43:59.352,0.5,0,1,0.00923361
2026-05-27 20:44:00.153,0.4,0,1,0.00199601
2026-05-27 20:44:00.955,0.4,0,1,0.00221022
2026-05-27 20:44:01.755,0.30000000000000004,0,1,0.00098135
2026-05-27 20:44:02.556,0.30000000000000004,0,1,0.00074850
2026-05-27 20:44:03.357,0.30000000000000004,0,1,0.00067325
2026-05-27 20:44:04.159,0.30000000000000004,0,1,0.00049751
2026-05-27 20:44:04.960,0.30000000000000004,0,1,0.00024534
2026-05-27 20:44:05.762,0.30000000000000004,0,1,0.00000000
2026-05-27 20:44:06.562,0.0,0,1,0.00000000
2026-05-27 20:44:07.362,0.0,0,1,0.00000000
2026-05-27 20:44:08.167,0.0,0,1,0.00000000
2026-05-27 20:44:08.968,0.0,0,1,0.00000000
2026-05-27 20:44:09.768,0.0,0.1,1,0.37131995
2026-05-27 20:44:10.569,0.0,0.1,1,0.37131992
2026-05-27 20:44:11.370,0.0,0.1,1,0.37131992
2026-05-27 20:44:12.170,0.0,0.1,1,0.37131989
2026-05-27 20:44:12.974,0.0,0.1,1,0.37131989
2026-05-27 20:44:13.775,0.0,0.05,1,0.37131989
2026-05-27 20:44:14.576,0.0,0.05,1,0.37131989
2026-05-27 20:44:15.376,0.0,0.05,1,0.37131992
2026-05-27 20:44:16.177,0.0,0.0,1,0.37205306
2026-05-27 20:44:16.978,0.0,0.0,1,0.37201196
2026-05-27 20:44:17.780,0.0,0.0,1,0.37236339
2026-05-27 20:44:18.580,0.0,0.0,1,0.00000000
2026-05-27 20:44:19.381,0.0,0.0,1,0.00000000
2026-05-27 20:44:20.183,0.0,0.05,1,0.39446723
2026-05-27 20:44:20.983,0.0,0.05,1,0.74772286
2026-05-27 20:44:21.783,0.0,0.05,1,0.98180479
2026-05-27 20:44:22.585,0.0,0.05,1,0.98209029
2026-05-27 20:44:23.386,0.0,0.05,1,0.98209029
2026-05-27 20:44:24.186,0.0,0.05,1,0.98209029
2026-05-27 20:44:24.988,0.0,0.05,1,0.98209018
2026-05-27 20:44:25.791,0.0,0.0,1,0.00000000
2026-05-27 20:44:26.591,0.0,0.0,1,0.00000000
2026-05-27 20:44:27.393,0.0,0.0,1,0.00000000
2026-05-27 20:44:28.193,0.0,0.0,1,0.00000000
2026-05-27 20:44:28.996,0.0,0.0,1,0.00000000
2026-05-27 20:44:29.797,0.0,0.05,1,0.97996718
